datetime,username,content,Sentimen
2022-12-30 23:46:37+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1
2022-12-30 23:28:10+00:00,rosaclaudia_r,cek pink mall  tas wanitatas selempang tas handbag import tas fashionbaru mini tas dengan harga rp dapatkan di shopee sekarang,1
2022-12-30 23:27:36+00:00,rosaclaudia_r,cek funatic dompet lipat koin wanita import model terbaru fashion korea fa dengan harga rp dapatkan di shopee sekarang,1
2022-12-30 23:27:36+00:00,rosaclaudia_r,fashion dengan baju model celana sobek belum malah terlihat jadul dimataku,2
2022-12-30 23:25:51+00:00,rosaclaudia_r,cek dompet kecil pesta kulit coklat premium import branded murah fashion wab mare korea abg lipat dengan harga rp dapatkan di shopee sekarang,1
2022-12-30 23:07:36+00:00,txtdronlineshop,"altercloth  yerin cardi  atasan wanita lengan panjang kardigan korea premium knit rajut import fashion knitwear murah 

  
cek promo",1
2022-12-30 23:01:05+00:00,thebatikCOID,sejarah contoh motif batik motif klasik jogja solo urban fashion classic design indonesia batikfabric,1
2022-12-30 22:51:37+00:00,reitakayama_,teringat pulak kat acik tu sebijik macam ni kutuk org keliling bkn main lg tapi dia tu sendiri fashion buruk ya amat walaupon mahal mekap pon senget benget bercapuk walopon dior segala,2
2022-12-30 22:35:50+00:00,EmiAmaliyah,bunjung itu suka belanja baju tapi dia gak pintar milih jadi dijulukin fashion teroristara fact,2
2022-07-16 03:53:26+00:00,skyiescraper,kakakmu kaya makku aku gatau seleraku yg jelek atau makku gatau fashion fashion tuh bebas namanya juga seni seji dalam berpakaianpede aja pake aja itu bagus kok,2
2022-06-25 15:27:23+00:00,08GYOP,gua tuh sebener nya ngerti fashion tapi  uang gua buat beli skincare terus terus lagi gua pendek jadi pake apa baju apa aja tuh kea jelek bngt aaaa nangis,2
2022-06-24 06:49:00+00:00,linear101,denger jay bilang fashion sense sh dulu jelek banget bisa aja emang terpengaruh sama js kan apalagi mereka yg paling sering kemejaan agak formal bapak gitu  yg jelas gue merasa jasuke agak mirip dah kecuali jake dia seringan pake flanelsweater tp lainnya hmpir serupa,2
2022-06-17 10:54:41+00:00,apomumbling,apo fashionable banget sih pengen kyk apo  aku tuh klo fashion suka jelek hueee,2
