datetime,username,content,Sentimen,clean_teks
2022-12-30 23:46:37+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1,gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setel rok kantor baru amp kini cek koleksi gamis deura amp setel rok deura fashion yuk deurafashion setelanrok gamisremaja 
2022-12-30 23:28:10+00:00,rosaclaudia_r,cek pink mall  tas wanitatas selempang tas handbag import tas fashionbaru mini tas dengan harga rp dapatkan di shopee sekarang,1,cek pink mall tas wanitatas selempang tas handbag import tas fashionbaru mini tas harga rupiah dapat shopee 
2022-12-30 23:27:36+00:00,rosaclaudia_r,cek funatic dompet lipat koin wanita import model terbaru fashion korea fa dengan harga rp dapatkan di shopee sekarang,1,cek funatic dompet lipat koin wanita import model baru fashion korea fa harga rupiah dapat shopee 
2022-12-30 23:27:36+00:00,rosaclaudia_r,fashion dengan baju model celana sobek belum malah terlihat jadul dimataku,2,fashion baju model celana sobek jaman mata 
2022-12-30 23:25:51+00:00,rosaclaudia_r,cek dompet kecil pesta kulit coklat premium import branded murah fashion wab mare korea abg lipat dengan harga rp dapatkan di shopee sekarang,1,cek dompet pesta kulit cokelat premium import branded murah fashion wab mare korea abg lipat harga rupiah dapat shopee 
2022-12-30 23:07:36+00:00,txtdronlineshop,"altercloth  yerin cardi  atasan wanita lengan panjang kardigan korea premium knit rajut import fashion knitwear murah 

  
cek promo",1,altercloth yerin cardi atas wanita lengan kardigan korea premium knit rajut import fashion knitwear murah cek promo 
2022-12-30 23:01:05+00:00,thebatikCOID,sejarah contoh motif batik motif klasik jogja solo urban fashion classic design indonesia batikfabric,1,sejarah contoh motif batik motif klasik jogja solo urban fashion classic design indonesia batikfabric 
2022-12-30 22:51:37+00:00,reitakayama_,teringat pulak kat acik tu sebijik macam ni kutuk org keliling bkn main lg tapi dia tu sendiri fashion buruk ya amat walaupon mahal mekap pon senget benget bercapuk walopon dior segala,2,pulak kat acik sebijik ni kutuk orang keliling main fashion buruk ya walaupon mahal mekap pon senget benget capuk walopon dior 
2022-12-30 22:35:50+00:00,EmiAmaliyah,bunjung itu suka belanja baju tapi dia gak pintar milih jadi dijulukin fashion teroristara fact,2,bunjung suka belanja baju pintar milih dijulukin fashion teroristara fakta 
2022-07-16 03:53:26+00:00,skyiescraper,kakakmu kaya makku aku gatau seleraku yg jelek atau makku gatau fashion fashion tuh bebas namanya juga seni seji dalam berpakaianpede aja pake aja itu bagus kok,2,kakak kaya makku tau selera jelek makku tau fashion fashion tuh bebas nama seni seji berpakaianpede pakai bagus 
2022-06-25 15:27:23+00:00,08GYOP,gua tuh sebener nya ngerti fashion tapi  uang gua buat beli skincare terus terus lagi gua pendek jadi pake apa baju apa aja tuh kea jelek bngt aaaa nangis,2,tuh sebener nya erti fashion uang beli skincare pendek pakai baju tuh kea jelek bngt aaaa nangis 
2022-06-24 06:49:00+00:00,linear101,denger jay bilang fashion sense sh dulu jelek banget bisa aja emang terpengaruh sama js kan apalagi mereka yg paling sering kemejaan agak formal bapak gitu  yg jelas gue merasa jasuke agak mirip dah kecuali jake dia seringan pake flanelsweater tp lainnya hmpir serupa,2,denger jay bilang fashion sense sh jelek banget emang pengaruh js kemeja formal jasuke kecuali jake ringan pakai flanelsweater 
2022-06-17 10:54:41+00:00,apomumbling,apo fashionable banget sih pengen kyk apo  aku tuh klo fashion suka jelek hueee,2,apo fashionable banget sih apo tuh fashion suka jelek hueee 
2022-06-17 09:38:30+00:00,jinnysn_luv,dia si paling fashionable dan mengerti tentang fashion enteng bgt bilang jelek wkwk mau adu hatespeech dia wkwk,2,si fashionable erti fashion ringan banget bilang jelek wkwk adu hatespeech wkwk 
2022-06-17 08:38:58+00:00,arginhasta,kalau didunia fashion ada ilmu menciptakan trend baru mungkin skrg kerah gini dibilang jelek tapi bisa jadi tahun depan jadi trend dan nike menjadi trendsetter,2,dunia fashion ilmu cipta trend kerah bilang jelek trend nike trendsetter 
2022-12-30 21:20:37+00:00,ootd_modern,"kingbest ""free box"" sepatu sneakers wanita import korean fashion sepatu wanita import korea sepatu wanita hitam sneakers wanita import",1,kingbest free box sepatu sneakers wanita import korean fashion sepatu wanita import korea sepatu wanita hitam sneakers wanita import 
2022-12-30 21:20:28+00:00,Rcmndation4u,temukan dan dapatkan  super big sale tw sepatu wanita import olahraga kasual fashion running shoes sneakerswanita hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat super big sale tw sepatu wanita import olahraga kasual fashion running shoes sneakerswanita rupiah shopee shopeeid 
2022-12-30 21:20:28+00:00,Rcmndation4u,paling ga suka sama fashion baju yang telihat ketat dan berwarna terang,2,suka fashion baju telihat ketat warna terang 
2022-12-30 21:20:28+00:00,Rcmndation4u,kata orang bisnis fashion bisnis paling nyaman nyatanya kalo ga laku malah bikin dagangan jadi ketinggalan jaman,2,orang bisnis fashion bisnis nyaman laku bikin dagang tinggal jaman 
2022-12-30 21:20:28+00:00,Rcmndation4u,repotnya bisnis fashion harus selalu mengikuti perkembangan jaman biar ga rugi,2,repot bisnis fashion ikut kembang jaman biar rugi 
2022-12-30 21:00:03+00:00,WibiansyaAnalis,temukan rd fashion  kem tasa  giomi linen rami shirt kemeja gita rami basic shirt dengan potongan  hanya rp dapatkan segera di shopee  shopeeid,1,temu rd fashion kem tasa giomi linen rami shirt kemeja gita rami basic shirt potong rupiah dapat shopee shopeeid 
2022-12-30 20:44:14+00:00,SOSHIGEsq,jessica dinilai memiliki gaya fashion yang elegan sama seperti hyomin tara dan suzy miss a,1,jessica nilai milik gaya fashion elegan hyomin tara suzy miss a 
2022-12-30 20:08:19+00:00,Jumadil62948032,ini konsepnya fashion show yang pernah trending itu jadi kostum nya warna warni,1,konsep fashion show trending kostum nya warna warni 
2022-12-30 20:04:37+00:00,07TO_,fashion isn't just about clothes it's studying about culture systems science political dynamics and soo much more kalian harusnya liat bahwa fashion sebagai ilmu multidisiplin yang bisa meluaaasss bgt cuma susah bgt jujur buat encourage mereka wkwk,2,fashion isnt just about clothes its studying about culture systems science political dynamics and soo much more lihat fashion ilmu multidisiplin meluaaasss banget susah banget jujur encourage wkwk 
2022-12-30 19:45:38+00:00,Deurafashion,"gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setelan rok untuk ke kantor yg terbaru amp kekinian cek koleksi gamis deura amp setelan rok deura fashion yuk



deurafashion setelanrok gamisremaja",1,gamis remaja gamis wanita gamis lebaran gamis pesta gamis kerja amp setel rok kantor baru amp kini cek koleksi gamis deura amp setel rok deura fashion yuk deurafashion setelanrok gamisremaja 
2022-12-30 19:33:02+00:00,ccoffee,aneh bgt youtube rewind indonesia  tanpa ngehighlight jeje bonge kurma atau the whole concept tuh udah citayam fashion week ya soalnya kan di jalanan gt dan feshun feshun tp orangorang gw tungguin mana kgk muncul sampai akhir,2,aneh banget youtube rewind indonesia ngehighlight jeje bonge kurma the whole konsep tuh citayam fashion week ya jalan feshun feshun orangorang tungguin muncul 
2022-12-30 19:45:38+00:00,Rcmndation4u,bisnis fashion harus selalu bersabar karena untung ga seberapa dan barang habis lama,2,bisnis fashion sabar untung barang habis 
2022-12-30 19:18:55+00:00,Rcmndation4u,temukan dan dapatkan import taspopo  sepatu sneaker reflektif wanita bertali korea original fashion murah hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat import taspopo sepatu sneaker reflektif wanita tali korea original fashion murah rupiah shopee shopeeid 
2022-12-30 19:18:53+00:00,ootd_modern,"import taspopo  sepatu sneaker reflektif wanita bertali korea original fashion murah 

  
cek harga",1,import taspopo sepatu sneaker reflektif wanita tali korea original fashion murah cek harga 
2022-12-30 19:18:47+00:00,Rcmndation4u,temukan dan dapatkan import taspopo  sepatu sneaker wanita bertali korea original luar negeri fashion murah hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat import taspopo sepatu sneaker wanita tali korea original negeri fashion murah rupiah shopee shopeeid 
2022-12-30 19:18:44+00:00,ootd_modern,"import taspopo  sepatu sneaker wanita bertali korea original luar negeri fashion murah 

  
cek harga",1,import taspopo sepatu sneaker wanita tali korea original negeri fashion murah cek harga 
2022-12-30 19:17:35+00:00,EKAChanShop,online shop terpercaya yang menyediakan fashion import japan korean style dari shanghai china hongkong dan taiwan dengan harga yang sangat terjangkau,1,online shop percaya sedia fashion import jepang korean style shanghai china hongkong taiwan harga jangkau 
2022-12-30 19:13:32+00:00,FairyStyleee,tapi sebelum itu pelajarin mix n match sama fashion trend dlo,1,pelajarin mix n match fashion trend dlo 
2022-12-30 18:59:39+00:00,BestRecmnd4U,temukan dan dapatkan turun harga  jaket jaket jeans pria big size jaket jeans tb scrup jaket pria fashion pria original the bery hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat turun harga jaket jaket jeans pria big size jaket jeans tb scrup jaket pria fashion pria original the bery rupiah shopee shopeeid 
2022-12-30 18:45:22+00:00,BestRecmnd4U,temukan dan dapatkan  super sale sepatu import fashion sepatu wanita sw korean trend hanya rp  di shopee sekarang juga  shopeeid,1,temu dapat super sale sepatu import fashion sepatu wanita sw korean trend rupiah shopee shopeeid 
2022-12-30 18:45:19+00:00,RacunRkomendasi,super sale sepatu import fashion sepatu wanita sw korean trend,1,super sale sepatu import fashion sepatu wanita sw korean trend 
